day_index,date,day_of_week,is_holiday,time_slot,total_spaces,occupied,free,spot_id
1,2025-01-01,0,0,07:00-07:30,50,1,0,1
1,2025-01-01,0,0,07:00-07:30,50,1,0,2
1,2025-01-01,0,0,07:00-07:30,50,1,0,3
1,2025-01-01,0,0,07:00-07:30,50,0,1,4
1,2025-01-01,0,0,07:00-07:30,50,1,0,5
1,2025-01-01,0,0,07:00-07:30,50,0,1,6
1,2025-01-01,0,0,07:00-07:30,50,1,0,7
1,2025-01-01,0,0,07:00-07:30,50,1,0,8
1,2025-01-01,0,0,07:00-07:30,50,1,0,9
1,2025-01-01,0,0,07:00-07:30,50,1,0,10
1,2025-01-01,0,0,07:00-07:30,50,1,0,11
1,2025-01-01,0,0,07:00-07:30,50,1,0,12
1,2025-01-01,0,0,07:00-07:30,50,1,0,13
1,2025-01-01,0,0,07:00-07:30,50,1,0,14
1,2025-01-01,0,0,07:00-07:30,50,1,0,15
1,2025-01-01,0,0,07:00-07:30,50,1,0,16
1,2025-01-01,0,0,07:00-07:30,50,0,1,17
1,2025-01-01,0,0,07:00-07:30,50,1,0,18
1,2025-01-01,0,0,07:00-07:30,50,1,0,19
1,2025-01-01,0,0,07:00-07:30,50,0,1,20
1,2025-01-01,0,0,07:00-07:30,50,1,0,21
1,2025-01-01,0,0,07:00-07:30,50,1,0,22
1,2025-01-01,0,0,07:00-07:30,50,0,1,23
1,2025-01-01,0,0,07:00-07:30,50,0,1,24
1,2025-01-01,0,0,07:00-07:30,50,1,0,25
1,2025-01-01,0,0,07:00-07:30,50,1,0,26
1,2025-01-01,0,0,07:00-07:30,50,1,0,27
1,2025-01-01,0,0,07:00-07:30,50,1,0,28
1,2025-01-01,0,0,07:00-07:30,50,1,0,29
1,2025-01-01,0,0,07:00-07:30,50,1,0,30
1,2025-01-01,0,0,07:00-07:30,50,1,0,31
1,2025-01-01,0,0,07:00-07:30,50,0,1,32
1,2025-01-01,0,0,07:00-07:30,50,1,0,33
1,2025-01-01,0,0,07:00-07:30,50,0,1,34
1,2025-01-01,0,0,07:00-07:30,50,1,0,35
1,2025-01-01,0,0,07:00-07:30,50,1,0,36
1,2025-01-01,0,0,07:00-07:30,50,0,1,37
1,2025-01-01,0,0,07:00-07:30,50,1,0,38
1,2025-01-01,0,0,07:00-07:30,50,1,0,39
1,2025-01-01,0,0,07:00-07:30,50,1,0,40
1,2025-01-01,0,0,07:00-07:30,50,0,1,41
1,2025-01-01,0,0,07:00-07:30,50,1,0,42
1,2025-01-01,0,0,07:00-07:30,50,0,1,43
1,2025-01-01,0,0,07:00-07:30,50,1,0,44
1,2025-01-01,0,0,07:00-07:30,50,1,0,45
1,2025-01-01,0,0,07:00-07:30,50,1,0,46
1,2025-01-01,0,0,07:00-07:30,50,1,0,47
1,2025-01-01,0,0,07:00-07:30,50,1,0,48
1,2025-01-01,0,0,07:00-07:30,50,1,0,49
1,2025-01-01,0,0,07:00-07:30,50,0,1,50
1,2025-01-01,0,0,07:30-08:00,50,0,1,1
1,2025-01-01,0,0,07:30-08:00,50,0,1,2
1,2025-01-01,0,0,07:30-08:00,50,0,1,3
1,2025-01-01,0,0,07:30-08:00,50,1,0,4
1,2025-01-01,0,0,07:30-08:00,50,0,1,5
1,2025-01-01,0,0,07:30-08:00,50,0,1,6
1,2025-01-01,0,0,07:30-08:00,50,1,0,7
1,2025-01-01,0,0,07:30-08:00,50,1,0,8
1,2025-01-01,0,0,07:30-08:00,50,1,0,9
1,2025-01-01,0,0,07:30-08:00,50,1,0,10
1,2025-01-01,0,0,07:30-08:00,50,1,0,11
1,2025-01-01,0,0,07:30-08:00,50,1,0,12
1,2025-01-01,0,0,07:30-08:00,50,1,0,13
1,2025-01-01,0,0,07:30-08:00,50,0,1,14
1,2025-01-01,0,0,07:30-08:00,50,0,1,15
1,2025-01-01,0,0,07:30-08:00,50,1,0,16
1,2025-01-01,0,0,07:30-08:00,50,1,0,17
1,2025-01-01,0,0,07:30-08:00,50,1,0,18
1,2025-01-01,0,0,07:30-08:00,50,1,0,19
1,2025-01-01,0,0,07:30-08:00,50,1,0,20
1,2025-01-01,0,0,07:30-08:00,50,1,0,21
1,2025-01-01,0,0,07:30-08:00,50,1,0,22
1,2025-01-01,0,0,07:30-08:00,50,1,0,23
1,2025-01-01,0,0,07:30-08:00,50,0,1,24
1,2025-01-01,0,0,07:30-08:00,50,1,0,25
1,2025-01-01,0,0,07:30-08:00,50,0,1,26
1,2025-01-01,0,0,07:30-08:00,50,1,0,27
1,2025-01-01,0,0,07:30-08:00,50,1,0,28
1,2025-01-01,0,0,07:30-08:00,50,0,1,29
1,2025-01-01,0,0,07:30-08:00,50,1,0,30
1,2025-01-01,0,0,07:30-08:00,50,0,1,31
1,2025-01-01,0,0,07:30-08:00,50,1,0,32
1,2025-01-01,0,0,07:30-08:00,50,0,1,33
1,2025-01-01,0,0,07:30-08:00,50,0,1,34
1,2025-01-01,0,0,07:30-08:00,50,0,1,35
1,2025-01-01,0,0,07:30-08:00,50,0,1,36
1,2025-01-01,0,0,07:30-08:00,50,1,0,37
1,2025-01-01,0,0,07:30-08:00,50,0,1,38
1,2025-01-01,0,0,07:30-08:00,50,1,0,39
1,2025-01-01,0,0,07:30-08:00,50,1,0,40
1,2025-01-01,0,0,07:30-08:00,50,0,1,41
1,2025-01-01,0,0,07:30-08:00,50,0,1,42
1,2025-01-01,0,0,07:30-08:00,50,1,0,43
1,2025-01-01,0,0,07:30-08:00,50,0,1,44
1,2025-01-01,0,0,07:30-08:00,50,1,0,45
1,2025-01-01,0,0,07:30-08:00,50,1,0,46
1,2025-01-01,0,0,07:30-08:00,50,1,0,47
1,2025-01-01,0,0,07:30-08:00,50,1,0,48
1,2025-01-01,0,0,07:30-08:00,50,1,0,49
1,2025-01-01,0,0,07:30-08:00,50,0,1,50
1,2025-01-01,0,0,08:00-08:30,50,1,0,1
1,2025-01-01,0,0,08:00-08:30,50,1,0,2
1,2025-01-01,0,0,08:00-08:30,50,1,0,3
